           2          12     5.2300
           1           7     3.4500
           2           7     6.4800
           1           8     3.6000
           2           8     6.5100
   25.47670       36.49810          9.160               6
           1          12     3.0400
           2          12     5.2600
           1           7     3.4600
           2           7     6.3000
           1           8     3.7300
           2           8     6.6800
   25.47090       36.46600         12.470               8
           1           9     2.9100
           2           9     5.5100
           1          12     3.1600
           2          12     5.7700
           1          13     3.2700
           2          13     5.9200
           1           7     3.4000
           2           7     6.0600
   24.49480       36.78530          6.920               6
           1           7    -5.0700
           2           7    -2.6000
           1           7    40.1200
           2           7    42.9200
           1           9    36.3900
           2           9    41.9900
   25.44440       36.46720         11.830               9
           1           9     2.8300
           2           9     5.1600
           1          12     2.6700
           2          12     5.1200
           1           7     3.3000
           2           7     5.7700
           1          13     3.1200
           2          13     5.5500
           1           8     3.2400
   25.49140       36.49530         10.060               8
           1           9     3.9300
           2           9     5.7400
           1          12     3.1600
           2          12     5.7300
           1           7     3.6500
           2           7     6.4700
           1           8     3.9800
           2           8     7.2700
   25.47360       36.48030          9.900               8
           1           9     2.7700
           2           9     5.0200
           1          12     2.8100
           2          12     5.1700
           1          13     3.1900
           2          13     5.6800
           1           7     3.3700
           2           7     5.9600
   25.45980       36.47160         12.970               8
           1           9     3.0900
           2           9     5.6200
           1          12     3.1400
           2          12     5.6800
           1           7     3.4500
           2           7     6.2600
           1          13     3.4000
           2          13     6.0900
   25.45370       36.49420          8.450               6
           1          12     2.4300
           2          12     4.6400
           1           9     2.7500
           2           9     4.7300
           2           7     5.7500
           2          13     5.2600
   25.41040       36.46330         14.410               8
           1          12     2.8900
           2          12     5.7200
           1           9     3.4400
           2           9     5.6200
           1           7     3.3300
           2           7     6.1700
           1          13     3.6700
           2          13     5.8500
   25.46010       36.47440         10.570               9
           1           9     2.7500
           2           9     5.0100
           1          12     2.7400
           2          12     5.0200
           1           7     3.1400
           2           7     5.6600
           1          13     3.0700
           2          13     5.6100
           1           8     3.5200
   25.42830       36.46790         10.670               7
           1          12     2.4800
           1           9     2.6500
           2           9     4.7500
           1           7     2.9600
           2           7     5.2800
           1          13     2.9900
           2          13     5.3600
   25.45720       36.47760         11.440               8
           1           9     2.8900
           2           9     5.3100
           1          12     2.8900
           2          12     5.2900
           1           7     3.3100
           2           7     5.9600
           1          13     3.3400
           2          13     5.8300
   25.46640       36.50030         12.850               9
           1          12     3.2500
           1           9     3.4800
           2           9     6.1500
           1           7     3.8300
           2           7     6.8900
           1          13     3.8300
           2          13     6.9100
           1           8     3.9500
