          60          60
           0           0           0           0          27          29
           0           0           0           0          30          32
          33          35          36          38           0           0
          39          41           0           0          42          45
          46          49          50          54          55          58
          59          61          62          64          65          67
          68          70          71          74          75          80
          81          86          87          93          94         101
         102         110         111         118         119         128
         129         134         135         140         141         145
         146         150         151         155         156         159
         160         164         165         170         171         175
           0           0           0           0         176         178
         179         181         182         185         186         193
           1           2           0           0           3           5
           6           8           9          11          12          16
          17          19          20          22          23          25
          26          28           0           0           0           0
           0           0           0           0           0           0
           0           0           0           0           0           0
           0           0          29          31           0           0
          32          34           0           0          35          37
          38          40          41          43           0           0
          44          46          47          49          50          54
          55          59          60          64          65          68
          69          71          72          75          76          79
          80          84          85          89          90          95
          96         103         104         111         112         119
         120         128         129         138         139         145
         146         152         153         158         159         163
         164         168         169         174         175         180
         181         186         187         190           0           0
