           4  -295.0000    
  -35.00000      -5.000000               0
  -35.00000       46.75000             266
  -35.00000       71.75000             267
  -35.00000       200.0000               0
  -15.00000      -5.000000               0
  -15.00000       66.25000             268
  -15.00000       200.0000               0
  -5.000000      -5.000000               0
  -5.000000       64.25000             269
  -5.000000       126.0000             270
  -5.000000       200.0000               0
   5.000000      -5.000000               0
   5.000000       61.75000             271
   5.000000       102.2500             272
   5.000000       113.2500             273
   5.000000       132.5000             274
   5.000000       200.0000               0
   15.00000      -5.000000               0
   15.00000       63.00000             275
   15.00000       93.75000             276
   15.00000       108.0000             277
   15.00000       117.7500             278
   15.00000       200.0000               0
   25.00000      -5.000000               0
   25.00000       63.75000             279
   25.00000       82.75000             280
   25.00000       89.25000             281
   25.00000       102.0000             282
   25.00000       114.0000             283
   25.00000       124.2500             284
   25.00000       200.0000               0
   35.00000      -5.000000               0
   35.00000       75.25000             285
   35.00000       82.50000             286
   35.00000       90.00000             287
   35.00000       106.2500             288
   35.00000       113.2500             289
   35.00000       122.7500             290
   35.00000       200.0000               0
   45.00000      -5.000000               0
   45.00000       75.25000             291
   45.00000       82.50000             292
   45.00000       102.0000             293
   45.00000       109.7500             294
   45.00000       118.0000             295
   45.00000       129.7500             296
   45.00000       200.0000               0
   55.00000      -5.000000               0
   55.00000       32.50000             297
   55.00000       38.50000             298
   55.00000       77.00000             299
   55.00000       89.25000             300
   55.00000       105.7500             301
   55.00000       113.5000             302
   55.00000       121.7500             303
   55.00000       138.2500             304
   55.00000       200.0000               0
   65.00000      -5.000000               0
   65.00000       100.2500             305
   65.00000       108.7500             306
   65.00000       117.5000             307
   65.00000       134.5000             308
   65.00000       200.0000               0
   75.00000      -5.000000               0
   75.00000       58.75000             309
   75.00000       106.2500             310
   75.00000       120.5000             311
   75.00000       138.0000             312
   75.00000       200.0000               0
   85.00000      -5.000000               0
   85.00000       56.50000             313
   85.00000       67.00000             314
   85.00000       74.75000             315
   85.00000       200.0000               0
   95.00000      -5.000000               0
   95.00000       57.50000             316
   95.00000       65.50000             317
   95.00000       74.00000             318
   95.00000       172.7500             319
   95.00000       200.0000               0
   105.0000      -5.000000               0
   105.0000       50.75000             320
   105.0000       64.50000             321
   105.0000       78.75000             322
   105.0000       87.75000             323
   105.0000       200.0000               0
   115.0000      -5.000000               0
   115.0000       51.00000             324
   115.0000       80.75000             325
   115.0000       121.2500             326
   115.0000       200.0000               0
   125.0000      -5.000000               0
   125.0000       51.75000             327
   125.0000       81.00000             328
   125.0000       200.0000               0
   135.0000      -5.000000               0
   135.0000       53.25000             329
   135.0000       65.75000             330
   135.0000       200.0000               0
   145.0000      -5.000000               0
   145.0000       65.00000             331
   145.0000       101.2500             332
   145.0000       116.7500             333
   145.0000       125.7500             334
   145.0000       134.2500             335
   145.0000       200.0000               0
   155.0000      -5.000000               0
   155.0000       62.00000             336
   155.0000       100.2500             337
   155.0000       120.2500             338
   155.0000       128.5000             339
   155.0000       200.0000               0
   165.0000      -5.000000               0
   165.0000       57.50000             340
   165.0000       63.25000             341
   165.0000       103.5000             342
   165.0000       200.0000               0
   175.0000      -5.000000               0
   175.0000       116.0000             343
   175.0000       137.5000             344
   175.0000       200.0000               0
   185.0000      -5.000000               0
   185.0000       115.2500             345
   185.0000       123.5000             346
   185.0000       143.0000             347
   185.0000       153.0000             348
   185.0000       200.0000               0
   195.0000      -5.000000               0
   195.0000       85.75000             349
   195.0000       134.0000             350
   195.0000       154.0000             351
   195.0000       200.0000               0
   205.0000      -5.000000               0
   205.0000       84.25000             352
   205.0000       92.75000             353
   205.0000       200.0000               0
   295.0000      -5.000000               0
   295.0000       200.0000               0
         171  -245.0000    
  -295.0000      -5.000000               0
  -295.0000       200.0000               0
  -295.0000      -5.000000               0
  -295.0000       65.00000             354
  -295.0000       200.0000               0
  -95.00000      -5.000000               0
  -95.00000       130.2500             355
  -95.00000       200.0000               0
  -85.00000      -5.000000               0
  -85.00000       63.50000             356
  -85.00000       127.0000             357
  -85.00000       200.0000               0
  -75.00000      -5.000000               0
  -75.00000       62.25000             358
  -75.00000       126.2500             359
  -75.00000       200.0000               0
  -65.00000      -5.000000               0
  -65.00000       62.25000             360
  -65.00000       200.0000               0
  -55.00000      -5.000000               0
  -55.00000       62.50000             361
  -55.00000       200.0000               0
  -45.00000      -5.000000               0
  -45.00000       38.75000             362
  -45.00000       66.25000             363
  -45.00000       200.0000               0
  -35.00000      -5.000000               0
  -35.00000       62.75000             364
  -35.00000       200.0000               0
  -25.00000      -5.000000               0
  -25.00000       66.75000             365
  -25.00000       200.0000               0
  -15.00000      -5.000000               0
  -15.00000       67.25000             366
  -15.00000       200.0000               0
  -5.000000      -5.000000               0
  -5.000000       64.25000             367
  -5.000000       108.5000             368
  -5.000000       200.0000               0
   5.000000      -5.000000               0
   5.000000       72.00000             369
   5.000000       102.2500             370
   5.000000       111.7500             371
   5.000000       130.5000             372
   5.000000       200.0000               0
   15.00000      -5.000000               0
   15.00000       61.50000             373
   15.00000       85.75000             374
   15.00000       100.7500             375
   15.00000       108.7500             376
   15.00000       200.0000               0
   25.00000      -5.000000               0
   25.00000       75.50000             377
   25.00000       81.75000             378
   25.00000       91.00000             379
   25.00000       104.0000             380
   25.00000       112.2500             381
   25.00000       123.5000             382
   25.00000       200.0000               0
   35.00000      -5.000000               0
   35.00000       62.75000             383
   35.00000       76.25000             384
   35.00000       84.00000             385
   35.00000       97.50000             386
   35.00000       106.0000             387
   35.00000       115.5000             388
   35.00000       140.0000             389
   35.00000       200.0000               0
   45.00000      -5.000000               0
   45.00000       74.75000             390
   45.00000       93.25000             391
   45.00000       104.2500             392
   45.00000       111.7500             393
   45.00000       119.2500             394
   45.00000       137.0000             395
   45.00000       200.0000               0
   55.00000      -5.000000               0
   55.00000       37.00000             396
   55.00000       42.75000             397
   55.00000       81.00000             398
   55.00000       96.50000             399
   55.00000       106.7500             400
   55.00000       114.2500             401
   55.00000       123.2500             402
   55.00000       200.0000               0
   65.00000      -5.000000               0
   65.00000       77.75000             403
   65.00000       102.5000             404
   65.00000       111.2500             405
   65.00000       128.5000             406
   65.00000       200.0000               0
   75.00000      -5.000000               0
   75.00000       57.00000             407
   75.00000       66.75000             408
   75.00000       74.50000             409
   75.00000       114.5000             410
   75.00000       200.0000               0
   85.00000      -5.000000               0
   85.00000       57.50000             411
   85.00000       65.75000             412
   85.00000       74.75000             413
   85.00000       200.0000               0
   95.00000      -5.000000               0
   95.00000       52.00000             414
   95.00000       60.75000             415
   95.00000       68.25000             416
   95.00000       78.75000             417
   95.00000       87.50000             418
   95.00000       200.0000               0
   105.0000      -5.000000               0
   105.0000       50.75000             419
   105.0000       59.25000             420
   105.0000       75.25000             421
   105.0000       116.2500             422
   105.0000       200.0000               0
   115.0000      -5.000000               0
   115.0000       51.25000             423
   115.0000       78.25000             424
   115.0000       117.0000             425
   115.0000       200.0000               0
   125.0000      -5.000000               0
   125.0000       45.75000             426
   125.0000       53.00000             427
   125.0000       65.00000             428
   125.0000       200.0000               0
   135.0000      -5.000000               0
   135.0000       60.25000             429
   135.0000       68.00000             430
   135.0000       101.0000             431
   135.0000       116.2500             432
   135.0000       124.0000             433
   135.0000       134.2500             434
   135.0000       200.0000               0
   145.0000      -5.000000               0
   145.0000       63.75000             435
   145.0000       99.25000             436
   145.0000       112.0000             437
   145.0000       123.0000             438
   145.0000       200.0000               0
   155.0000      -5.000000               0
   155.0000       58.00000             439
   155.0000       63.75000             440
   155.0000       99.25000             441
   155.0000       123.0000             442
   155.0000       200.0000               0
   165.0000      -5.000000               0
   165.0000       110.2500             443
   165.0000       121.7500             444
   165.0000       142.2500             445
