1 4 0.84700 0.947
1 5 1.03200 1.132
1 2 0.50200 0.602
1 7 1.17200 1.272
2 4 1.65200 1.752
2 6 1.87200 1.972
2 2 0.96200 1.062
-130.030620       45.948010         0.95400                10
1 3 0.55600 0.656
1 4 0.94600 1.046
1 5 1.06600 1.166
1 6 1.08100 1.181
1 1 0.84100 0.941
1 2 0.58600 0.686
1 7 1.17100 1.271
2 4 1.79100 1.891
2 6 2.00600 2.106
2 2 1.07600 1.176
-129.983840       45.947960         1.31200                 5
1 3 0.62600 0.726
1 4 0.40600 0.506
1 5 0.47100 0.571
1 6 0.53600 0.636
2 4 0.75600 0.856
-130.038600       45.954940         2.04300                 9
1 3 0.71400 0.814
1 4 1.10900 1.209
1 5 1.25400 1.354
1 6 1.17400 1.274
1 2 0.86400 0.964
2 3 1.51400 1.614
2 5 2.28900 2.389
2 6 2.27900 2.379
2 2 1.44900 1.549
-129.996670       45.947470         0.29800                 7
1 3 0.46800 0.568
1 4 0.50300 0.603
1 5 0.69300 0.793
1 6 0.71300 0.813
2 3 1.30300 1.403
2 4 1.04800 1.148
2 6 1.56300 1.663
-130.037460       45.956850         2.40800                 4
1 3 0.75000 0.85
1 5 1.24000 1.34
1 2 0.89500 0.995
2 3 1.46500 1.565
-130.028690       45.950160         1.38900                 9
1 3 0.56100 0.661
1 4 0.94100 1.041
1 5 1.04600 1.146
1 6 1.03600 1.136
1 1 0.83600 0.936
1 2 0.64100 0.741
1 7 1.10600 1.206
2 6 2.02100 2.121
2 2 1.09100 1.191
-130.028170       45.948670         0.99300                 4
1 3 0.54300 0.643
1 5 1.06300 1.163
1 2 0.61300 0.713
2 6 1.97300 2.073
-129.967670       45.929340         1.23400                 6
1 5 0.42300 0.523
1 6 0.50300 0.603
1 1 0.70800 0.808
1 7 0.38300 0.483
2 6 0.92800 1.028
2 1 1.36800 1.468
-130.036220       45.953950         1.92300                 6
1 3 0.68100 0.781
1 4 1.04100 1.141
1 5 1.19100 1.291
1 2 0.82100 0.921
2 5 2.26100 2.361
2 6 2.25100 2.351
-130.037750       45.951710         0.96900                 7
1 3 0.66400 0.764
1 4 1.02400 1.124
1 5 1.17400 1.274
1 2 0.80400 0.904
2 3 1.58900 1.689
2 5 2.24400 2.344
2 6 2.23400 2.334
-129.998630       45.961360         0.07800                 8
1 3 0.47200 0.572
1 4 0.78700 0.887
1 5 1.03700 1.137
1 6 0.92200 1.022
1 2 1.05200 1.152
2 3 1.16700 1.267
2 4 1.79200 1.892
2 6 1.98700 2.087
-129.997620       45.992860         0.57600                 4
1 3 1.07400 1.174
1 4 1.26400 1.364
1 5 1.43900 1.539
1 2 1.55400 1.654
-129.983580       45.917340         5.08100                 4
1 3 1.38000 1.48
1 5 1.11500 1.215
1 1 1.19500 1.295
1 2 1.12000 1.22
-129.974840       45.985400         2.84600                 7
1 4 1.02700 1.127
1 5 1.23700 1.337
1 6 1.25200 1.352
1 1 1.48200 1.582
2 3 2.15700 2.257
2 4 2.01200 2.112
2 5 2.39700 2.497
-130.013960       45.940650         0.68600                10
1 3 0.54600 0.646
1 4 0.79100 0.891
1 5 0.83600 0.936
1 6 0.78100 0.881
1 1 0.54100 0.641
1 2 0.32600 0.426
1 7 0.84600 0.946
2 4 1.44100 1.541
2 5 1.64600 1.746
2 1 1.21100 1.311
-130.020520       45.937530         1.26200                 6
1 5 0.90200 1.002
1 6 0.88700 0.987
1 1 0.59700 0.697
1 2 0.35700 0.457
2 3 1.25700 1.357
2 5 1.66200 1.762
-130.037640       45.955960         1.71800                 7
1 3 0.68400 0.784
1 4 1.08400 1.184
1 5 1.23900 1.339
1 1 1.00900 1.109
1 2 0.82900 0.929
2 5 2.25400 2.354
