 AXEC3  0.833 0.50 P
 AXAS1  0.603 1.00 P
 AXAS2  0.413 1.00 P
 AXID1  0.908 1.00 P
 AXEC1  1.523 0.33 S
 AXEC2  1.628 0.25 S
 AXEC3  1.683 0.33 S
 AXAS1  1.343 0.25 S
 AXID1  1.643 0.25 S
# 2015  1 26  9 30 53.484   45.92575 -129.99586  1.047  0.2  0.384  0.765  0.033  21665
 AXCC1  0.960 0.75 P
 AXEC2  0.600 0.50 P
 AXEC3  0.575 1.00 P
 AXAS1  0.430 1.00 P
 AXAS2  0.525 1.00 P
 AXID1  0.495 1.00 P
 AXEC1  1.440 0.33 S
 AXEC2  1.255 0.25 S
 AXEC3  1.180 0.33 S
 AXAS1  0.865 0.25 S
 AXAS2  0.845 0.25 S
# 2015  1 26 10 49 49.654   45.93498 -130.01988  1.279  0.9  0.510  0.415  0.031  21677
 AXCC1  0.666 1.00 P
 AXEC1  0.891 1.00 P
 AXEC2  0.916 1.00 P
 AXEC3  0.851 1.00 P
 AXAS1  0.611 1.00 P
 AXAS2  0.386 1.00 P
 AXID1  0.836 1.00 P
 AXCC1  1.451 0.25 S
 AXEC1  1.651 0.33 S
 AXEC2  1.666 0.33 S
 AXEC3  1.631 0.33 S
 AXAS1  1.236 0.25 S
 AXAS2  0.636 0.33 S
# 2015  1 26 13 15 34.162   45.94267 -130.01628  0.881  0.0  0.815  1.088  0.034  21699
 AXCC1  0.483 1.00 P
 AXEC2  0.858 1.00 P
 AXEC3  0.878 1.00 P
 AXAS1  0.563 0.50 P
 AXAS2  0.393 1.00 P
 AXID1  0.908 0.75 P
 AXEC1  1.463 0.25 S
 AXEC2  1.578 0.33 S
 AXEC3  1.618 0.25 S
 AXAS1  1.298 0.25 S
 AXAS2  0.653 0.25 S
 AXID1  1.533 0.25 S
# 2015  1 26 17  2 55.122   45.94212 -129.98331  1.610  0.2  0.449  1.138  0.064  21736
 AXCC1  0.733 0.50 P
 AXEC1  0.413 1.00 P
 AXEC2  0.413 1.00 P
 AXEC3  0.398 1.00 P
 AXAS1  0.528 1.00 P
 AXAS2  0.738 0.75 P
 AXEC1  0.823 0.33 S
 AXEC2  0.803 0.25 S
 AXEC3  0.863 0.33 S
 AXAS1  1.158 0.25 S
 AXAS2  1.123 0.25 S
# 2015  1 26 19 47  6.848   45.94947 -129.97865  1.339  0.3  0.486  0.527  0.066  21794
 AXCC1  0.677 1.00 P
 AXEC1  0.387 1.00 P
 AXEC2  0.477 1.00 P
 AXEC3  0.532 0.75 P
 AXAS1  0.717 0.75 P
 AXAS2  0.862 0.75 P
 AXEC1  0.777 0.33 S
 AXEC2  0.957 0.25 S
 AXEC3  0.977 0.33 S
 AXAS1  1.417 0.25 S
 AXAS2  1.622 0.25 S
# 2015  1 26 19 48 46.939   45.94869 -129.98126  1.525  0.4  0.472  0.671  0.031  21806
 AXCC1  0.681 1.00 P
 AXEC1  0.421 1.00 P
 AXEC2  0.506 1.00 P
 AXEC3  0.526 1.00 P
 AXAS1  0.671 1.00 P
 AXAS2  0.821 0.75 P
 AXID1  0.676 0.75 P
 AXCC1  1.351 0.25 S
 AXEC1  0.821 0.33 S
 AXEC2  0.971 0.25 S
 AXEC3  1.046 0.33 S
 AXAS2  1.401 0.25 S
 AXID1  1.711 0.33 S
# 2015  1 27  3 49 14.553   45.94342 -130.02071  1.083  0.3  0.713  0.873  0.035  21953
 AXCC1  0.517 1.00 P
 AXEC1  0.817 0.75 P
 AXEC2  0.922 1.00 P
 AXEC3  0.907 1.00 P
 AXAS1  0.667 1.00 P
 AXAS2  0.452 1.00 P
 AXID1  0.992 0.50 P
 AXEC1  1.537 0.25 S
 AXEC2  1.647 0.25 S
 AXEC3  1.687 0.25 S
 AXAS1  1.362 0.25 S
 AXAS2  0.697 0.33 S
# 2015  1 27  4 16 55.335   45.94634 -129.98473  1.462  1.0  0.319  0.698  0.020  21985
 AXCC1  0.640 1.00 P
 AXEC1  0.405 1.00 P
 AXEC2  0.510 1.00 P
 AXEC3  0.515 1.00 P
 AXAS1  0.635 1.00 P
 AXAS2  0.725 1.00 P
 AXID1  0.670 1.00 P
 AXCC1  1.380 0.25 S
 AXEC1  0.830 0.25 S
 AXEC2  0.970 0.33 S
 AXEC3  1.000 0.33 S
 AXAS1  1.060 0.25 S
# 2015  1 27  4 37  7.257   45.94688 -129.98608  0.984  0.2  0.447  0.601  0.022  22023
 AXCC1  0.598 1.00 P
 AXEC1  0.348 1.00 P
 AXEC2  0.458 1.00 P
 AXEC3  0.468 1.00 P
 AXAS1  0.588 1.00 P
 AXID1  0.818 0.50 P
 AXCC1  1.268 0.25 S
 AXEC1  0.788 0.25 S
 AXEC2  0.933 0.25 S
