   99.00000       2.000000       8.000000              10
           2           4   12.20000    
           2          23   11.70000    
           2          29   6.000000    
           2          30   3.200000    
   98.95000       2.020000       3.900000              14
           1           1   9.500000    
           1           4   6.700000    
           1          12   8.700000    
           1          22   6.400000    
           1          23   6.500000    
           1          24   10.00000    
           1          29   3.500000    
           1          30   1.400000    
           1          31   7.700000    
           2           1   15.80000    
           2           4   12.00000    
           2          23   10.90000    
           2          30   2.400000    
           2          31   12.90000    
   99.13000       1.730000       12.40000              19
           1           1   12.30000    
           1           4   11.50000    
           1           5   22.40000    
           1           6   7.700000    
           1          10   20.90000    
           1          12   15.00000    
           1          15   31.00000    
           1          22   2.600000    
           1          23   7.100000    
           1          24   7.700000    
           1          29   10.20000    
           1          31   13.70000    
           2           1   20.70000    
           2           4   19.80000    
           2           6   12.90000    
           2          22   5.200000    
           2          23   12.60000    
           2          24   22.80000    
           2          31   22.70000    
   99.13000       1.710000       14.90000              15
           1           1   12.80000    
           1           4   12.10000    
           1           5   23.40000    
           1           6   8.100000    
           1          15   32.20000    
           1          22   3.000000    
           1          23   7.800000    
           1          31   12.40000    
           2           1   21.20000    
           2           4   20.40000    
           2           6   13.30000    
           2          15   56.80000    
           2          22   5.600000    
           2          23   13.00000    
           2          31   22.90000    
   99.08000       1.910000      0.2000000               6
           1           1   9.700000    
           1           4   8.000000    
           1           6   5.800000    
           1          22   1.200000    
           1          23   5.400000    
           2           1   16.90000    
   99.12000       1.760000       14.90000               8
