           4   5.00000007E-02
   9.15000057      0.959999263              15
   9.15000057       4.00000000               0
   14.9499998       0.00000000               0
   14.9499998       4.00000000               0
          67   2.75000000    
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   7.75000000       0.00000000               0
   7.75000000       1.22999907              16
   7.75000000       4.00000000               0
   7.84999990       0.00000000               0
   7.84999990       1.10999918              17
   7.84999990       4.00000000               0
   7.95000029       0.00000000               0
   7.95000029      0.989999235              18
   7.95000029       4.00000000               0
   8.05000019       0.00000000               0
   8.05000019       1.04499924              19
   8.05000019       4.00000000               0
   8.15000057       0.00000000               0
   8.15000057       1.11999917              20
   8.15000057       4.00000000               0
   8.25000000       0.00000000               0
   8.25000000       1.07499921              21
   8.25000000       4.00000000               0
   8.35000038       0.00000000               0
   8.35000038       1.01499927              22
   8.35000038       4.00000000               0
   8.44999981       0.00000000               0
   8.44999981      0.919999301              23
   8.44999981       1.30999899              24
   8.44999981       4.00000000               0
   8.55000019       0.00000000               0
   8.55000019       1.00999928              25
   8.55000019       4.00000000               0
   8.65000057       0.00000000               0
   8.65000057      0.949999273              26
   8.65000057       4.00000000               0
   8.75000000       0.00000000               0
   8.75000000      0.854999363              27
   8.75000000       4.00000000               0
   8.85000038       0.00000000               0
   8.85000038      0.769999444              28
   8.85000038       4.00000000               0
   8.94999981       0.00000000               0
   8.94999981      0.689999521              29
   8.94999981       4.00000000               0
   9.05000019       0.00000000               0
   9.05000019      0.564999640              30
   9.05000019       4.00000000               0
   9.15000057       0.00000000               0
   9.15000057      0.504999697              31
   9.15000057       1.34499896              32
   9.15000057       4.00000000               0
   9.25000000       0.00000000               0
   9.25000000      0.369999796              33
   9.25000000       1.34999895              34
   9.25000000       4.00000000               0
   9.35000038       0.00000000               0
   9.35000038      0.229999915              35
   9.35000038       4.00000000               0
   9.44999981       0.00000000               0
   9.44999981      0.125000015              36
   9.44999981       4.00000000               0
   9.55000019       0.00000000               0
   9.55000019      0.864999354              37
   9.55000019       4.00000000               0
   9.65000057       0.00000000               0
   9.65000057      0.864999354              38
   9.65000057       4.00000000               0
   14.9499998       0.00000000               0
   14.9499998       4.00000000               0
          76   2.85000014    
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   7.55000019       0.00000000               0
   7.55000019       1.86999846              39
   7.55000019       4.00000000               0
   7.65000010       0.00000000               0
   7.65000010       1.26999903              40
   7.65000010       4.00000000               0
   7.75000000       0.00000000               0
   7.75000000       1.24999905              41
   7.75000000       4.00000000               0
   7.84999990       0.00000000               0
   7.84999990       1.36499894              42
   7.84999990       4.00000000               0
   7.95000029       0.00000000               0
   7.95000029      0.949999273              43
   7.95000029       4.00000000               0
   8.05000019       0.00000000               0
   8.05000019       1.10999918              44
   8.05000019       4.00000000               0
   8.15000057       0.00000000               0
   8.15000057       1.09499919              45
   8.15000057       4.00000000               0
   8.25000000       0.00000000               0
   8.25000000       1.06499922              46
   8.25000000       4.00000000               0
   8.35000038       0.00000000               0
   8.35000038       1.03499925              47
   8.35000038       4.00000000               0
   8.44999981       0.00000000               0
   8.44999981       1.06999922              48
   8.44999981       4.00000000               0
   8.55000019       0.00000000               0
   8.55000019       1.06999922              49
   8.55000019       4.00000000               0
   8.65000057       0.00000000               0
   8.65000057      0.999999225              50
   8.65000057       4.00000000               0
   8.75000000       0.00000000               0
   8.75000000      0.904999316              51
   8.75000000       4.00000000               0
   8.85000038       0.00000000               0
   8.85000038      0.814999402              52
   8.85000038       4.00000000               0
   8.94999981       0.00000000               0
   8.94999981      0.724999487              53
   8.94999981       4.00000000               0
   9.05000019       0.00000000               0
   9.05000019      0.624999583              54
   9.05000019       2.01999879              55
   9.05000019       4.00000000               0
   9.15000057       0.00000000               0
   9.15000057      0.514999688              56
   9.15000057       1.25499904              57
   9.15000057       4.00000000               0
   9.25000000       0.00000000               0
   9.25000000      0.309999853              58
   9.25000000      0.439999729              59
   9.25000000       1.09999919              60
   9.25000000       4.00000000               0
   9.35000038       0.00000000               0
   9.35000038      0.100000009              61
   9.35000038      0.204999939              62
   9.35000038      0.319999844              63
   9.35000038      0.784999430              64
   9.35000038       4.00000000               0
   9.44999981       0.00000000               0
   9.44999981      0.100000009              65
   9.44999981      0.209999934              66
   9.44999981      0.509999692              67
   9.44999981       4.00000000               0
   9.55000019       0.00000000               0
   9.55000019      0.649999559              68
   9.55000019       4.00000000               0
   14.9499998       0.00000000               0
   14.9499998       4.00000000               0
          80   2.95000005    
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   7.65000010       0.00000000               0
   7.65000010       1.15499914              69
   7.65000010       4.00000000               0
   7.75000000       0.00000000               0
   7.75000000       1.17499912              70
   7.75000000       4.00000000               0
   7.84999990       0.00000000               0
   7.84999990       1.14999914              71
   7.84999990       4.00000000               0
   7.95000029       0.00000000               0
   7.95000029       1.07999921              72
   7.95000029       4.00000000               0
   8.05000019       0.00000000               0
   8.05000019       1.11999917              73
   8.05000019       4.00000000               0
   8.15000057       0.00000000               0
   8.15000057      0.999999225              74
   8.15000057       4.00000000               0
   8.25000000       0.00000000               0
   8.25000000      0.954999268              75
   8.25000000       4.00000000               0
   8.35000038       0.00000000               0
   8.35000038       1.06999922              76
   8.35000038       4.00000000               0
   8.44999981       0.00000000               0
   8.44999981       1.06999922              77
   8.44999981       4.00000000               0
   8.55000019       0.00000000               0
   8.55000019       1.01999927              78
   8.55000019       4.00000000               0
   8.65000057       0.00000000               0
   8.65000057       1.00499928              79
   8.65000057       4.00000000               0
   8.75000000       0.00000000               0
   8.75000000      0.914999306              80
   8.75000000       4.00000000               0
   8.85000038       0.00000000               0
   8.85000038      0.864999354              81
   8.85000038       4.00000000               0
   8.94999981       0.00000000               0
   8.94999981      0.739999473              82
   8.94999981       4.00000000               0
   9.05000019       0.00000000               0
   9.05000019      0.639999568              83
   9.05000019      0.784999430              84
   9.05000019       4.00000000               0
   9.15000057       0.00000000               0
   9.15000057      0.509999692              85
   9.15000057      0.629999578              86
   9.15000057       1.27499902              87
   9.15000057       4.00000000               0
   9.25000000       0.00000000               0
   9.25000000      0.329999834              88
   9.25000000      0.434999734              89
   9.25000000      0.549999654              90
   9.25000000       1.24999905              91
   9.25000000       4.00000000               0
   9.35000038       0.00000000               0
   9.35000038      0.239999905              92
   9.35000038      0.349999815              93
   9.35000038      0.474999696              94
   9.35000038       1.45999885              95
   9.35000038       4.00000000               0
   9.44999981       0.00000000               0
   9.44999981      0.204999939              96
   9.44999981      0.309999853              97
   9.44999981      0.424999744              98
   9.44999981      0.634999573              99
   9.44999981       4.00000000               0
   9.55000019       0.00000000               0
   9.55000019      0.379999787             100
   9.55000019      0.559999645             101
   9.55000019       4.00000000               0
   9.65000057       0.00000000               0
   9.65000057      0.814999402             102
   9.65000057       4.00000000               0
   14.9499998       0.00000000               0
   14.9499998       4.00000000               0
          97   3.04999995    
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   7.34999990       0.00000000               0
   7.34999990       1.36499894             103
   7.34999990       4.00000000               0
   7.45000029       0.00000000               0
   7.45000029       1.33999896             104
   7.45000029       4.00000000               0
   7.55000019       0.00000000               0
   7.55000019       1.13499916             105
   7.55000019       4.00000000               0
   7.65000010       0.00000000               0
   7.65000010       1.05999923             106
   7.65000010       4.00000000               0
   7.75000000       0.00000000               0
   7.75000000       1.08999920             107
   7.75000000       4.00000000               0
   7.84999990       0.00000000               0
   7.84999990       1.14999914             108
   7.84999990       4.00000000               0
   7.95000029       0.00000000               0
   7.95000029       1.05499923             109
   7.95000029       4.00000000               0
   8.05000019       0.00000000               0
   8.05000019       1.15999913             110
   8.05000019       4.00000000               0
   8.15000057       0.00000000               0
   8.15000057      0.944999278             111
   8.15000057       4.00000000               0
   8.25000000       0.00000000               0
   8.25000000       1.10999918             112
   8.25000000       4.00000000               0
   8.35000038       0.00000000               0
   8.35000038       1.10999918             113
   8.35000038       4.00000000               0
   8.44999981       0.00000000               0
   8.44999981       1.05499923             114
   8.44999981       4.00000000               0
   8.55000019       0.00000000               0
   8.55000019       1.00999928             115
   8.55000019       1.57999873             116
   8.55000019       4.00000000               0
   8.65000057       0.00000000               0
   8.65000057      0.929999292             117
   8.65000057       1.13499916             118
   8.65000057       4.00000000               0
   8.75000000       0.00000000               0
   8.75000000      0.924999297             119
   8.75000000       1.33999896             120
   8.75000000       4.00000000               0
   8.85000038       0.00000000               0
   8.85000038      0.829999387             121
   8.85000038       1.20999908             122
   8.85000038       4.00000000               0
   8.94999981       0.00000000               0
   8.94999981      0.719999492             123
   8.94999981      0.854999363             124
   8.94999981       4.00000000               0
   9.05000019       0.00000000               0
   9.05000019      0.664999545             125
   9.05000019      0.774999440             126
   9.05000019       1.77499855             127
   9.05000019       4.00000000               0
   9.15000057       0.00000000               0
   9.15000057      0.584999621             128
   9.15000057      0.694999516             129
   9.15000057       1.23499906             130
   9.15000057       4.00000000               0
   9.25000000       0.00000000               0
   9.25000000      0.514999688             131
   9.25000000      0.669999540             132
   9.25000000       4.00000000               0
   9.35000038       0.00000000               0
   9.35000038      0.404999763             133
   9.35000038      0.524999678             134
   9.35000038      0.694999516             135
   9.35000038       4.00000000               0
   9.44999981       0.00000000               0
   9.44999981      0.309999853             136
   9.44999981      0.414999753             137
   9.44999981      0.524999678             138
   9.44999981      0.654999554             139
   9.44999981       1.45999885             140
   9.44999981       4.00000000               0
   9.55000019       0.00000000               0
   9.55000019      0.464999706             141
   9.55000019      0.599999607             142
   9.55000019      0.759999454             143
   9.55000019       4.00000000               0
   9.65000057       0.00000000               0
   9.65000057      0.829999387             144
   9.65000057       4.00000000               0
   9.75000000       0.00000000               0
   9.75000000       1.27499902             145
   9.75000000       4.00000000               0
   14.9499998       0.00000000               0
   14.9499998       4.00000000               0
         107   3.15000010    
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   7.15000010       0.00000000               0
   7.15000010       1.32999897             146
   7.15000010       4.00000000               0
   7.25000000       0.00000000               0
   7.25000000       1.47999883             147
   7.25000000       4.00000000               0
   7.34999990       0.00000000               0
   7.34999990       1.35499895             148
   7.34999990       4.00000000               0
   7.45000029       0.00000000               0
   7.45000029       1.09499919             149
   7.45000029       4.00000000               0
   7.55000019       0.00000000               0
   7.55000019       1.08499920             150
   7.55000019       4.00000000               0
   7.65000010       0.00000000               0
   7.65000010       1.04999924             151
   7.65000010       4.00000000               0
   7.75000000       0.00000000               0
   7.75000000       1.07499921             152
   7.75000000       4.00000000               0
   7.84999990       0.00000000               0
   7.84999990       1.11999917             153
   7.84999990       4.00000000               0
   7.95000029       0.00000000               0
   7.95000029       1.20999908             154
   7.95000029       4.00000000               0
   8.05000019       0.00000000               0
   8.05000019       1.12499917             155
   8.05000019       4.00000000               0
   8.15000057       0.00000000               0
   8.15000057      0.899999321             156
   8.15000057       4.00000000               0
   8.25000000       0.00000000               0
   8.25000000       1.11499918             157
   8.25000000       4.00000000               0
   8.35000038       0.00000000               0
   8.35000038       1.13999915             158
   8.35000038       4.00000000               0
   8.44999981       0.00000000               0
   8.44999981       1.01999927             159
   8.44999981       1.27999902             160
   8.44999981       4.00000000               0
   8.55000019       0.00000000               0
   8.55000019       1.00499928             161
   8.55000019       1.34999895             162
   8.55000019       4.00000000               0
   8.65000057       0.00000000               0
   8.65000057      0.944999278             163
   8.65000057       1.22499907             164
   8.65000057       4.00000000               0
   8.75000000       0.00000000               0
   8.75000000      0.914999306             165
   8.75000000       1.12499917             166
   8.75000000       4.00000000               0
   8.85000038       0.00000000               0
   8.85000038      0.819999397             167
   8.85000038      0.939999282             168
   8.85000038       1.30499899             169
   8.85000038       4.00000000               0
   8.94999981       0.00000000               0
   8.94999981      0.734999478             170
   8.94999981      0.844999373             171
   8.94999981      0.994999230             172
   8.94999981       4.00000000               0
   9.05000019       0.00000000               0
   9.05000019      0.714999497             173
   9.05000019      0.829999387             174
   9.05000019       4.00000000               0
   9.15000057       0.00000000               0
   9.15000057      0.714999497             175
   9.15000057       1.38999891             176
   9.15000057       4.00000000               0
   9.25000000       0.00000000               0
   9.25000000      0.644999564             177
   9.25000000       1.25999904             178
   9.25000000       4.00000000               0
   9.35000038       0.00000000               0
   9.35000038      0.429999739             179
   9.35000038      0.544999659             180
   9.35000038      0.664999545             181
   9.35000038       1.12999916             182
   9.35000038       4.00000000               0
   9.44999981       0.00000000               0
   9.44999981      0.424999744             183
   9.44999981      0.529999673             184
   9.44999981      0.639999568             185
   9.44999981      0.769999444             186
   9.44999981       1.32499897             187
   9.44999981       4.00000000               0
   9.55000019       0.00000000               0
   9.55000019      0.529999673             188
   9.55000019      0.669999540             189
   9.55000019      0.804999411             190
   9.55000019      0.989999235             191
   9.55000019       4.00000000               0
   9.65000057       0.00000000               0
   9.65000057      0.784999430             192
   9.65000057       1.22999907             193
   9.65000057       4.00000000               0
   9.75000000       0.00000000               0
   9.75000000       1.32999897             194
   9.75000000       4.00000000               0
   14.9499998       0.00000000               0
   14.9499998       4.00000000               0
         110   3.25000000    
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   6.75000000       0.00000000               0
   6.75000000       1.59499872             195
   6.75000000       4.00000000               0
   7.05000019       0.00000000               0
   7.05000019       1.16999912             196
   7.05000019       4.00000000               0
   7.15000010       0.00000000               0
   7.15000010       1.04999924             197
   7.15000010       4.00000000               0
   7.25000000       0.00000000               0
   7.25000000      0.974999249             198
   7.25000000       4.00000000               0
   7.34999990       0.00000000               0
   7.34999990      0.954999268             199
   7.34999990       4.00000000               0
   7.45000029       0.00000000               0
   7.45000029       1.03999925             200
   7.45000029       4.00000000               0
   7.55000019       0.00000000               0
   7.55000019       1.06999922             201
   7.55000019       4.00000000               0
   7.65000010       0.00000000               0
   7.65000010       1.03999925             202
   7.65000010       4.00000000               0
   7.75000000       0.00000000               0
   7.75000000       1.23499906             203
   7.75000000       4.00000000               0
   7.84999990       0.00000000               0
   7.84999990       1.07499921             204
   7.84999990       4.00000000               0
   7.95000029       0.00000000               0
   7.95000029       1.17499912             205
   7.95000029       4.00000000               0
   8.05000019       0.00000000               0
   8.05000019      0.739999473             206
   8.05000019       1.26999903             207
   8.05000019       4.00000000               0
   8.15000057       0.00000000               0
   8.15000057       1.15999913             208
   8.15000057       4.00000000               0
   8.25000000       0.00000000               0
   8.25000000       1.14499915             209
   8.25000000       4.00000000               0
   8.35000038       0.00000000               0
   8.35000038       1.09999919             210
   8.35000038       4.00000000               0
   8.44999981       0.00000000               0
   8.44999981       1.03999925             211
   8.44999981       1.19999909             212
   8.44999981       4.00000000               0
   8.55000019       0.00000000               0
   8.55000019       1.01999927             213
   8.55000019       1.19999909             214
   8.55000019       4.00000000               0
   8.65000057       0.00000000               0
   8.65000057      0.969999254             215
   8.65000057       1.08999920             216
   8.65000057       4.00000000               0
   8.75000000       0.00000000               0
   8.75000000      0.914999306             217
   8.75000000       1.02999926             218
   8.75000000       4.00000000               0
   8.85000038       0.00000000               0
   8.85000038      0.904999316             219
   8.85000038       1.14499915             220
   8.85000038       4.00000000               0
   8.94999981       0.00000000               0
   8.94999981      0.814999402             221
   8.94999981      0.979999244             222
   8.94999981       4.00000000               0
   9.05000019       0.00000000               0
   9.05000019      0.814999402             223
   9.05000019       4.00000000               0
   9.15000057       0.00000000               0
   9.15000057      0.854999363             224
   9.15000057       4.00000000               0
   9.25000000       0.00000000               0
   9.25000000      0.699999511             225
   9.25000000      0.919999301             226
   9.25000000       4.00000000               0
   9.35000038       0.00000000               0
   9.35000038      0.509999692             227
   9.35000038      0.619999588             228
   9.35000038      0.739999473             229
   9.35000038       1.15499914             230
   9.35000038       4.00000000               0
   9.44999981       0.00000000               0
   9.44999981      0.524999678             231
   9.44999981      0.634999573             232
   9.44999981      0.744999468             233
   9.44999981      0.939999282             234
   9.44999981       4.00000000               0
   9.55000019       0.00000000               0
   9.55000019      0.619999588             235
   9.55000019      0.754999459             236
   9.55000019      0.894999325             237
   9.55000019       1.12999916             238
   9.55000019       4.00000000               0
   9.65000057       0.00000000               0
   9.65000057      0.769999444             239
   9.65000057      0.994999230             240
   9.65000057       1.49499881             241
   9.65000057       4.00000000               0
   9.75000000       0.00000000               0
   9.75000000       1.06999922             242
   9.75000000       4.00000000               0
   14.9499998       0.00000000               0
   14.9499998       4.00000000               0
         121   3.35000014    
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   6.75000000       0.00000000               0
   6.75000000       1.59499872             243
   6.75000000       4.00000000               0
   6.95000029       0.00000000               0
   6.95000029      0.829999387             244
   6.95000029       4.00000000               0
   7.05000019       0.00000000               0
   7.05000019      0.869999349             245
   7.05000019       4.00000000               0
   7.15000010       0.00000000               0
   7.15000010      0.809999406             246
   7.15000010       4.00000000               0
   7.25000000       0.00000000               0
   7.25000000      0.869999349             247
   7.25000000       4.00000000               0
   7.34999990       0.00000000               0
   7.34999990      0.904999316             248
   7.34999990       4.00000000               0
   7.45000029       0.00000000               0
   7.45000029       1.11499918             249
   7.45000029       4.00000000               0
   7.55000019       0.00000000               0
   7.55000019       1.30499899             250
   7.55000019       4.00000000               0
   7.65000010       0.00000000               0
   7.65000010       1.11999917             251
   7.65000010       4.00000000               0
   7.75000000       0.00000000               0
   7.75000000       1.16499913             252
   7.75000000       4.00000000               0
   7.84999990       0.00000000               0
   7.84999990       1.13499916             253
   7.84999990       4.00000000               0
   7.95000029       0.00000000               0
   7.95000029      0.729999483             254
   7.95000029       1.61999869             255
   7.95000029       4.00000000               0
   8.05000019       0.00000000               0
   8.05000019      0.699999511             256
   8.05000019       4.00000000               0
   8.15000057       0.00000000               0
   8.15000057       1.08999920             257
   8.15000057       1.29999900             258
   8.15000057       4.00000000               0
   8.25000000       0.00000000               0
   8.25000000      0.994999230             259
   8.25000000       1.23999906             260
   8.25000000       4.00000000               0
   8.35000038       0.00000000               0
   8.35000038       1.11499918             261
   8.35000038       4.00000000               0
   8.44999981       0.00000000               0
   8.44999981       1.07999921             262
   8.44999981       1.24999905             263
   8.44999981       4.00000000               0
   8.55000019       0.00000000               0
   8.55000019       1.01499927             264
   8.55000019       1.13499916             265
   8.55000019       4.00000000               0
   8.65000057       0.00000000               0
   8.65000057       1.00499928             266
   8.65000057       1.16999912             267
   8.65000057       4.00000000               0
   8.75000000       0.00000000               0
   8.75000000      0.929999292             268
   8.75000000       1.04499924             269
   8.75000000       4.00000000               0
   8.85000038       0.00000000               0
   8.85000038      0.934999287             270
   8.85000038       1.07499921             271
   8.85000038       4.00000000               0
   8.94999981       0.00000000               0
   8.94999981      0.909999311             272
   8.94999981       1.30999899             273
   8.94999981       4.00000000               0
   9.05000019       0.00000000               0
   9.05000019      0.869999349             274
   9.05000019       1.39999890             275
   9.05000019       4.00000000               0
   9.15000057       0.00000000               0
   9.15000057      0.929999292             276
   9.15000057       4.00000000               0
   9.25000000       0.00000000               0
   9.25000000      0.719999492             277
   9.25000000      0.859999359             278
   9.25000000       1.28999901             279
   9.25000000       4.00000000               0
   9.35000038       0.00000000               0
   9.35000038      0.604999602             280
   9.35000038      0.719999492             281
   9.35000038      0.839999378             282
   9.35000038      0.994999230             283
   9.35000038       4.00000000               0
   9.44999981       0.00000000               0
   9.44999981      0.619999588             284
   9.44999981      0.734999478             285
   9.44999981      0.849999368             286
   9.44999981      0.989999235             287
   9.44999981       1.45999885             288
   9.44999981       4.00000000               0
   9.55000019       0.00000000               0
   9.55000019      0.679999530             289
   9.55000019      0.824999392             290
   9.55000019      0.964999259             291
   9.55000019       1.25999904             292
   9.55000019       4.00000000               0
   9.65000057       0.00000000               0
   9.65000057      0.834999382             293
   9.65000057       1.06999922             294
   9.65000057       1.28999901             295
   9.65000057       4.00000000               0
   9.75000000       0.00000000               0
   9.75000000       1.16999912             296
   9.75000000       4.00000000               0
   9.85000038       0.00000000               0
   9.85000038       1.33999896             297
   9.85000038       4.00000000               0
   14.9499998       0.00000000               0
   14.9499998       4.00000000               0
         133   3.45000005    
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   6.55000019       0.00000000               0
   6.55000019       1.49499881             298
   6.55000019       4.00000000               0
   6.65000010       0.00000000               0
   6.65000010       1.54499876             299
   6.65000010       4.00000000               0
   6.75000000       0.00000000               0
   6.75000000       1.08499920             300
   6.75000000       4.00000000               0
   6.84999990       0.00000000               0
   6.84999990      0.594999611             301
   6.84999990       4.00000000               0
   6.95000029       0.00000000               0
   6.95000029      0.604999602             302
   6.95000029       4.00000000               0
   7.05000019       0.00000000               0
   7.05000019      0.674999535             303
   7.05000019       4.00000000               0
   7.15000010       0.00000000               0
   7.15000010      0.764999449             304
   7.15000010       4.00000000               0
   7.25000000       0.00000000               0
   7.25000000      0.854999363             305
   7.25000000       4.00000000               0
   7.34999990       0.00000000               0
   7.34999990      0.899999321             306
   7.34999990       4.00000000               0
   7.45000029       0.00000000               0
   7.45000029      0.994999230             307
   7.45000029       4.00000000               0
   7.55000019       0.00000000               0
   7.55000019       1.09999919             308
   7.55000019       4.00000000               0
   7.65000010       0.00000000               0
   7.65000010       1.17999911             309
   7.65000010       4.00000000               0
   7.75000000       0.00000000               0
   7.75000000       1.04499924             310
   7.75000000       4.00000000               0
   7.84999990       0.00000000               0
   7.84999990       1.10999918             311
   7.84999990       4.00000000               0
   7.95000029       0.00000000               0
   7.95000029      0.429999739             312
   7.95000029       1.21999907             313
   7.95000029       4.00000000               0
   8.05000019       0.00000000               0
   8.05000019      0.769999444             314
   8.05000019       1.28499901             315
   8.05000019       4.00000000               0
   8.15000057       0.00000000               0
   8.15000057      0.599999607             316
   8.15000057       1.24499905             317
   8.15000057       4.00000000               0
   8.25000000       0.00000000               0
   8.25000000       1.10999918             318
   8.25000000       1.24999905             319
   8.25000000       4.00000000               0
   8.35000038       0.00000000               0
   8.35000038       1.10499918             320
   8.35000038       1.24999905             321
   8.35000038       4.00000000               0
   8.44999981       0.00000000               0
   8.44999981       1.10499918             322
   8.44999981       1.37999892             323
   8.44999981       4.00000000               0
   8.55000019       0.00000000               0
   8.55000019       1.10499918             324
   8.55000019       4.00000000               0
   8.65000057       0.00000000               0
   8.65000057       1.01999927             325
   8.65000057       1.13999915             326
   8.65000057       4.00000000               0
   8.75000000       0.00000000               0
   8.75000000       1.01499927             327
   8.75000000       1.30999899             328
   8.75000000       4.00000000               0
   8.85000038       0.00000000               0
   8.85000038       1.01499927             329
   8.85000038       4.00000000               0
   8.94999981       0.00000000               0
   8.94999981      0.859999359             330
   8.94999981       1.28999901             331
   8.94999981       4.00000000               0
   9.05000019       0.00000000               0
   9.05000019      0.954999268             332
   9.05000019       4.00000000               0
   9.15000057       0.00000000               0
   9.15000057      0.874999344             333
   9.15000057       1.50999880             334
   9.15000057       4.00000000               0
   9.25000000       0.00000000               0
   9.25000000      0.689999521             335
   9.25000000      0.824999392             336
   9.25000000      0.974999249             337
   9.25000000       1.55499876             338
   9.25000000       4.00000000               0
   9.35000038       0.00000000               0
   9.35000038      0.659999549             339
   9.35000038      0.774999440             340
   9.35000038      0.894999325             341
   9.35000038       1.08499920             342
   9.35000038       4.00000000               0
   9.44999981       0.00000000               0
   9.44999981      0.704999506             343
   9.44999981      0.819999397             344
   9.44999981      0.939999282             345
   9.44999981       1.10999918             346
   9.44999981       1.65499866             347
   9.44999981       4.00000000               0
   9.55000019       0.00000000               0
   9.55000019      0.724999487             348
   9.55000019      0.879999340             349
   9.55000019       1.03999925             350
   9.55000019       1.25999904             351
   9.55000019       4.00000000               0
   9.65000057       0.00000000               0
   9.65000057      0.909999311             352
   9.65000057       1.16499913             353
   9.65000057       1.36999893             354
   9.65000057       1.66499865             355
   9.65000057       4.00000000               0
   9.75000000       0.00000000               0
   9.75000000       1.06999922             356
   9.75000000       1.42499888             357
   9.75000000       4.00000000               0
   9.85000038       0.00000000               0
   9.85000038       1.43999887             358
   9.85000038       4.00000000               0
   14.9499998       0.00000000               0
   14.9499998       4.00000000               0
         150   3.54999995    
   5.00000007E-02   0.00000000               0
   5.00000007E-02   4.00000000               0
   6.55000019       0.00000000               0
   6.55000019       1.22499907             359
   6.55000019       4.00000000               0
   6.65000010       0.00000000               0
   6.65000010      0.464999706             360
   6.65000010       4.00000000               0
   6.75000000       0.00000000               0
   6.75000000      0.344999820             361
   6.75000000       1.46499884             362
   6.75000000       4.00000000               0
   6.84999990       0.00000000               0
   6.84999990      0.434999734             363
   6.84999990       1.42999887             364
   6.84999990       4.00000000               0
   6.95000029       0.00000000               0
   6.95000029      0.544999659             365
   6.95000029       1.32999897             366
   6.95000029       4.00000000               0
   7.05000019       0.00000000               0
   7.05000019      0.659999549             367
   7.05000019       1.99499834             368
   7.05000019       4.00000000               0
   7.15000010       0.00000000               0
   7.15000010      0.769999444             369
   7.15000010       4.00000000               0
   7.25000000       0.00000000               0
   7.25000000      0.904999316             370
   7.25000000       4.00000000               0
   7.34999990       0.00000000               0
   7.34999990       1.09499919             371
   7.34999990       4.00000000               0
   7.45000029       0.00000000               0
   7.45000029       1.08999920             372
   7.45000029       4.00000000               0
   7.55000019       0.00000000               0
   7.55000019       1.04999924             373
   7.55000019       4.00000000               0
   7.65000010       0.00000000               0
   7.65000010       1.07999921             374
   7.65000010       4.00000000               0
   7.75000000       0.00000000               0
   7.75000000      0.324999839             375
   7.75000000       1.26999903             376
   7.75000000       4.00000000               0
